Call Id,Agent,Date,Time,Topic,Answered (Y/N),Resolved,Speed of answer in seconds,AvgTalkDuration,Satisfaction rating
Call_51,Agent_1,2023-10-13 06:18:04,2:47,Billing,Y,No,7,0:08:12,1.987295476807609
Call_52,Agent_3,2023-04-05 19:46:15,23:19,Technical Support,Y,No,52,0:08:22,3.9636162246082858
Call_53,Agent_1,2023-02-18 12:35:48,6:50,Technical Support,Y,Yes,76,0:06:26,2.265080598917227
Call_54,Agent_5,2023-04-17 00:18:09,16:11,Sales Inquiry,Y,No,22,0:04:51,1.4075695522640541
Call_55,Agent_3,2023-07-04 10:10:31,15:23,General Inquiry,Y,Yes,77,0:05:01,2.4409356752017115
Call_56,Agent_3,2023-05-02 19:44:25,12:35,General Inquiry,Y,No,76,0:04:55,2.081573145538102
Call_57,Agent_1,2023-12-25 21:52:08,12:32,Technical Support,N,Yes,84,0:03:10,4.37084760864222
Call_58,Agent_3,2023-02-09 00:54:58,1:14,Sales Inquiry,Y,Yes,106,0:02:25,2.2533916703405725
Call_59,Agent_2,2023-05-25 12:23:08,11:44,General Inquiry,Y,No,55,0:03:24,4.1557298871040285
Call_60,Agent_3,2023-02-18 03:32:40,1:32,Sales Inquiry,N,Yes,72,0:01:01,4.567488579242939
Call_61,Agent_1,2023-06-03 17:01:49,23:11,General Inquiry,Y,Yes,76,0:04:22,2.735269678306118
Call_62,Agent_2,2023-03-02 20:33:10,15:20,Feedback,Y,Yes,48,0:02:45,4.6397725754175685
Call_63,Agent_2,2023-02-14 14:45:35,22:38,Technical Support,N,No,8,0:04:38,2.5092722158527714
Call_64,Agent_3,2023-08-31 18:47:57,16:27,Technical Support,Y,No,15,0:04:16,4.856313665960433
Call_65,Agent_3,2023-01-18 16:57:06,21:03,Billing,N,No,37,0:01:57,1.3571580981022917
Call_66,Agent_4,2023-09-19 20:57:50,2:44,Billing,Y,Yes,71,0:08:43,3.748077066012971
Call_67,Agent_4,2023-10-17 23:55:43,9:37,Billing,Y,Yes,44,0:06:23,2.9752561618277147
Call_68,Agent_5,2023-04-24 11:06:43,23:05,Sales Inquiry,N,Yes,12,0:06:48,2.5505952218225882
Call_69,Agent_5,2023-02-01 17:50:32,16:10,Billing,Y,No,49,0:01:34,3.5308475149944036
Call_70,Agent_3,2023-11-04 15:31:16,11:27,Sales Inquiry,N,No,98,0:09:27,3.8154283665373248
Call_71,Agent_3,2023-08-11 13:07:32,9:49,Feedback,N,No,95,0:06:37,1.0174530786012363
Call_72,Agent_4,2023-11-27 14:04:50,3:15,Billing,N,No,108,0:02:02,1.6678123549887949
Call_73,Agent_2,2023-11-21 11:27:06,19:23,General Inquiry,N,No,33,0:02:42,3.852184202537275
Call_74,Agent_2,2023-01-07 05:13:45,10:22,Sales Inquiry,Y,No,27,0:03:26,3.665541654312826
Call_75,Agent_5,2023-11-21 01:05:40,14:47,Billing,Y,No,93,0:04:42,4.864190020514709
Call_76,Agent_1,2023-01-11 11:03:45,17:49,General Inquiry,Y,No,33,0:07:07,4.044151161003132
Call_77,Agent_3,2023-11-09 18:34:24,10:37,Sales Inquiry,N,Yes,87,0:03:05,4.803090830925353
Call_78,Agent_5,2023-11-22 22:02:04,12:46,Sales Inquiry,Y,No,65,0:05:32,3.810162006139228
Call_79,Agent_3,2023-09-19 11:28:04,3:37,Sales Inquiry,N,Yes,25,0:06:04,2.1922088345577726
Call_80,Agent_3,2023-12-21 21:06:21,19:38,General Inquiry,N,No,74,0:09:04,1.421459689003426
Call_81,Agent_3,2023-02-24 04:56:35,12:26,Sales Inquiry,Y,No,60,0:04:19,4.127295453379743
Call_82,Agent_5,2023-02-01 18:28:16,4:53,Technical Support,N,No,39,0:08:04,3.5765968859036636
Call_83,Agent_1,2023-11-24 19:30:41,23:16,Billing,N,Yes,81,0:06:10,1.192744049573185
Call_84,Agent_3,2023-12-11 14:21:18,21:41,Sales Inquiry,Y,No,57,0:06:36,2.4402018636039133
Call_85,Agent_1,2023-07-26 20:31:22,17:54,General Inquiry,N,No,70,0:09:58,4.827199261937144
Call_86,Agent_2,2023-02-26 10:46:05,7:47,Billing,Y,Yes,17,0:02:54,3.001604582840805
Call_87,Agent_2,2023-11-30 02:39:46,22:52,Feedback,N,No,58,0:07:11,2.7309165440788186
Call_88,Agent_1,2023-03-03 19:23:45,17:21,General Inquiry,Y,Yes,54,0:07:29,2.830798420637176
Call_89,Agent_1,2023-09-19 16:16:02,6:58,General Inquiry,Y,Yes,25,0:02:59,1.835530896020655
Call_90,Agent_5,2023-11-30 22:10:38,19:00,Feedback,Y,Yes,95,0:08:04,2.474828683459181
Call_91,Agent_5,2023-10-22 17:43:41,20:32,Sales Inquiry,Y,No,29,0:02:47,2.4792530239487065
Call_92,Agent_3,2023-11-17 07:59:00,1:50,Billing,Y,No,119,0:02:07,1.2094200807498896
Call_93,Agent_2,2023-04-07 13:04:02,21:55,Billing,Y,No,55,0:05:50,4.070270514071673
Call_94,Agent_3,2023-12-27 11:43:21,6:34,Sales Inquiry,N,Yes,82,0:03:45,2.666017727615516
Call_95,Agent_5,2023-05-21 09:06:17,3:19,Billing,Y,Yes,25,0:03:28,4.288719547265693
Call_96,Agent_4,2023-11-08 19:41:00,7:46,Billing,N,Yes,28,0:04:32,4.401392004479582
Call_97,Agent_5,2023-04-17 00:58:05,16:09,Billing,Y,Yes,33,0:07:40,1.8479762187946323
Call_98,Agent_4,2023-12-15 09:06:23,22:46,Technical Support,N,No,61,0:01:47,3.6294139286805143
Call_99,Agent_4,2023-07-31 02:28:10,6:53,General Inquiry,N,Yes,13,0:08:55,2.889127216651927
Call_100,Agent_1,2023-07-28 21:51:28,23:55,General Inquiry,Y,No,60,0:07:27,4.520626951685941
Call_101,Agent_5,2023-05-13 10:26:59,23:09,General Inquiry,Y,Yes,50,0:09:17,1.8629627167058165
Call_102,Agent_5,2023-01-26 21:31:55,13:51,Technical Support,N,Yes,45,0:01:09,3.711252801240177
Call_103,Agent_4,2023-04-17 12:57:30,13:20,Sales Inquiry,N,No,110,0:08:56,3.4310084890108903
Call_104,Agent_2,2023-08-19 06:26:36,9:01,Technical Support,Y,Yes,114,0:02:39,2.181205910287331
Call_105,Agent_2,2023-09-17 00:19:06,19:51,General Inquiry,N,Yes,72,0:04:01,1.5464036146046904
Call_106,Agent_2,2023-10-29 21:52:41,2:15,Feedback,Y,Yes,10,0:09:28,3.6065590419091063
Call_107,Agent_5,2023-06-23 02:46:36,23:23,Feedback,Y,Yes,64,0:04:07,3.9543898325293227
Call_108,Agent_5,2023-06-11 19:08:45,0:55,Technical Support,N,Yes,96,0:04:01,2.2625093750534
Call_109,Agent_3,2023-02-15 06:29:16,3:49,Feedback,Y,Yes,20,0:06:54,3.579330416089255
Call_110,Agent_1,2023-01-09 16:12:54,22:17,Feedback,Y,Yes,93,0:05:35,2.580523630446013
Call_111,Agent_4,2023-10-20 18:08:23,9:53,Billing,Y,Yes,32,0:03:34,3.852827533130471
Call_112,Agent_3,2023-12-09 12:21:47,12:18,Technical Support,Y,Yes,119,0:04:43,1.7968610995762124
Call_113,Agent_1,2023-12-12 03:53:26,8:29,General Inquiry,Y,No,92,0:09:10,4.5608600105446975
Call_114,Agent_5,2023-06-15 04:17:49,7:14,Billing,Y,No,48,0:07:08,2.149638385862319
Call_115,Agent_4,2023-08-29 23:35:16,5:55,General Inquiry,Y,Yes,7,0:09:19,2.4711439510246116
Call_116,Agent_5,2023-03-15 07:40:30,8:19,Feedback,Y,No,105,0:02:38,1.2323678083213991
Call_117,Agent_1,2023-03-18 15:58:30,15:06,Sales Inquiry,Y,No,62,0:02:43,1.4460488492851056
Call_118,Agent_5,2023-11-05 11:05:09,20:33,Technical Support,Y,Yes,90,0:03:58,3.0634476108493125
Call_119,Agent_5,2023-01-11 01:29:11,23:50,Billing,N,No,11,0:07:31,2.070370706911886
Call_120,Agent_2,2023-08-22 18:22:21,12:17,Feedback,Y,No,43,0:01:04,4.341920902968777
Call_121,Agent_1,2023-04-14 07:31:52,14:13,Sales Inquiry,N,No,62,0:08:00,1.0587735546198154
Call_122,Agent_1,2023-05-19 10:43:08,17:05,General Inquiry,N,Yes,101,0:09:05,2.5163761946877448
Call_123,Agent_2,2023-11-27 18:55:31,15:32,Billing,Y,No,23,0:08:20,2.3493821870763707
Call_124,Agent_5,2023-04-30 01:01:02,4:29,Feedback,Y,No,18,0:09:41,1.0773105236704041
Call_125,Agent_3,2023-10-14 08:05:48,16:27,Sales Inquiry,Y,Yes,108,0:05:59,1.4974735960020409
Call_126,Agent_2,2023-01-24 16:57:05,0:38,Billing,Y,Yes,31,0:08:50,2.654570699674541
Call_127,Agent_3,2023-09-01 22:10:15,21:30,Feedback,Y,No,88,0:08:59,2.9714583377897865
Call_128,Agent_2,2023-03-09 09:10:57,21:01,General Inquiry,Y,No,59,0:04:55,2.6171589890194764
Call_129,Agent_5,2023-06-08 01:13:43,14:20,Feedback,Y,Yes,31,0:03:26,3.1237507136483753
Call_130,Agent_5,2023-02-18 02:08:57,9:05,Feedback,Y,Yes,59,0:01:31,3.380526699622726
Call_131,Agent_3,2023-05-04 00:46:03,14:37,Billing,Y,Yes,72,0:09:58,1.0396952845113425
Call_132,Agent_4,2023-01-03 14:03:43,19:48,Technical Support,N,No,38,0:05:06,2.8563806378140155
Call_133,Agent_1,2023-09-12 16:04:26,19:46,Sales Inquiry,Y,No,111,0:05:12,4.853996963550353
Call_134,Agent_3,2023-03-18 10:04:33,21:34,Feedback,N,Yes,96,0:05:46,3.076129120518195
Call_135,Agent_2,2023-07-09 01:13:04,3:57,General Inquiry,Y,No,113,0:05:07,3.7101690698358127
Call_136,Agent_1,2023-06-16 13:36:41,16:14,Technical Support,N,No,38,0:04:49,2.247455431667533
Call_137,Agent_2,2023-08-13 09:37:09,0:35,General Inquiry,N,Yes,71,0:01:04,4.09596551261105
Call_138,Agent_2,2023-11-26 07:12:31,5:29,Technical Support,Y,No,76,0:02:46,4.091685927504461
Call_139,Agent_5,2023-04-02 04:52:41,4:14,General Inquiry,Y,Yes,86,0:03:44,3.085184190616556
Call_140,Agent_1,2023-07-30 07:04:28,23:23,Feedback,Y,Yes,73,0:03:02,4.904055293116855
Call_141,Agent_1,2023-08-14 08:56:36,12:51,Billing,Y,No,95,0:08:21,1.5022008590506135
Call_142,Agent_4,2023-03-13 02:30:02,12:42,Billing,Y,No,98,0:09:38,1.067790659558324
Call_143,Agent_4,2023-08-13 21:42:30,4:04,Billing,N,No,56,0:02:54,4.080632847028384
Call_144,Agent_2,2023-06-06 23:03:19,8:36,General Inquiry,Y,No,98,0:06:32,4.228622149459531
Call_145,Agent_4,2023-06-04 13:44:50,7:15,Billing,Y,No,31,0:08:24,1.480828916482305
Call_146,Agent_4,2023-01-17 07:34:08,2:46,Feedback,Y,Yes,43,0:04:32,2.0623313318344243
Call_147,Agent_2,2023-05-29 16:41:29,11:03,Technical Support,N,No,87,0:03:26,1.0702094534665156
Call_148,Agent_1,2023-09-10 01:48:42,19:12,Billing,N,No,102,0:08:39,2.1732344431222588
Call_149,Agent_4,2023-08-23 07:23:16,20:24,Sales Inquiry,N,No,113,0:04:08,4.092567495674686
Call_150,Agent_2,2023-03-09 05:29:45,7:48,Billing,Y,No,11,0:01:17,3.0718421108503158
Call_151,Agent_1,2023-01-14 10:50:53,19:27,General Inquiry,Y,Yes,60,0:03:52,2.3923823726731523
Call_152,Agent_2,2023-04-28 03:45:06,23:14,Billing,N,No,27,0:02:15,2.486957179625321
Call_153,Agent_4,2023-07-31 21:27:42,7:04,General Inquiry,N,No,38,0:08:44,1.0054145028618726
Call_154,Agent_4,2023-09-29 15:47:16,11:15,Feedback,Y,Yes,95,0:07:52,2.1992021102609436
Call_155,Agent_3,2023-01-12 06:48:47,1:37,Sales Inquiry,N,No,58,0:05:43,3.585834966551722
Call_156,Agent_2,2023-07-15 12:50:29,11:49,Sales Inquiry,N,Yes,74,0:03:54,4.896777775265429
Call_157,Agent_2,2023-12-14 00:09:31,2:12,Billing,N,No,72,0:01:52,4.388243307935598
Call_158,Agent_4,2023-05-30 06:24:46,17:46,Billing,N,Yes,5,0:07:59,1.0943798585821165
Call_159,Agent_1,2023-04-02 12:20:08,4:18,Sales Inquiry,Y,No,111,0:06:28,4.594242418699357
Call_160,Agent_3,2023-08-15 10:08:16,16:56,Billing,Y,Yes,111,0:04:15,4.132793653194504
Call_161,Agent_3,2023-04-04 12:09:15,16:55,Technical Support,N,No,21,0:04:58,4.121504494283922
Call_162,Agent_4,2023-11-23 07:46:11,0:45,General Inquiry,N,No,17,0:02:07,2.831983036014286
Call_163,Agent_5,2023-05-23 11:11:09,0:26,General Inquiry,Y,No,81,0:01:25,2.5920211718180113
Call_164,Agent_4,2023-04-09 10:45:38,2:00,Technical Support,N,No,22,0:07:49,2.2116629153327705
Call_165,Agent_4,2023-04-10 06:42:21,1:11,General Inquiry,N,No,82,0:08:01,1.262779435817463
Call_166,Agent_2,2023-07-12 17:08:19,3:51,General Inquiry,Y,Yes,65,0:07:21,1.9129414539747964
Call_167,Agent_5,2023-05-20 03:10:52,13:37,Billing,N,No,13,0:05:31,1.9864145399120985
Call_168,Agent_2,2023-05-17 04:34:26,9:54,Technical Support,Y,Yes,38,0:01:50,2.9363082788408064
Call_169,Agent_1,2023-05-10 06:36:30,9:11,Feedback,N,No,67,0:03:52,3.989777626386776
Call_170,Agent_5,2023-05-26 04:34:44,3:52,Technical Support,N,Yes,21,0:09:39,2.8952393135917864
Call_171,Agent_1,2023-11-09 21:42:39,0:17,Sales Inquiry,Y,Yes,31,0:05:59,1.2313777977886424
Call_172,Agent_2,2023-07-27 13:08:13,17:40,Sales Inquiry,Y,No,17,0:08:41,4.831159203952815
Call_173,Agent_4,2023-08-15 07:05:39,3:26,General Inquiry,Y,Yes,99,0:08:34,4.770897276376449
Call_174,Agent_2,2023-11-19 11:30:24,19:12,Feedback,Y,No,54,0:07:54,4.1407581725936335
Call_175,Agent_2,2023-03-01 01:31:09,18:30,Feedback,Y,Yes,5,0:01:45,4.965311606256883
Call_176,Agent_2,2023-10-06 03:52:32,17:26,General Inquiry,N,No,38,0:09:34,3.1779293312010517
Call_177,Agent_3,2023-01-17 19:46:47,0:00,Sales Inquiry,Y,Yes,81,0:03:30,4.851073401012824
Call_178,Agent_3,2023-08-07 22:41:20,15:01,Billing,N,No,97,0:02:01,1.302420162467003
Call_179,Agent_2,2023-10-07 07:14:43,13:27,Billing,Y,Yes,50,0:01:02,2.4627229930454853
Call_180,Agent_3,2023-01-27 19:05:00,5:28,Billing,N,No,49,0:08:19,1.9015250720270633
Call_181,Agent_3,2023-07-11 12:27:08,18:10,Technical Support,Y,Yes,53,0:07:00,1.7833323365370801
Call_182,Agent_3,2023-10-31 04:11:53,7:51,Feedback,N,No,115,0:09:57,1.5632117955707043
Call_183,Agent_3,2023-05-01 22:20:52,21:43,General Inquiry,N,Yes,46,0:05:04,3.4896545662639866
Call_184,Agent_4,2023-02-01 10:53:27,21:06,Technical Support,Y,No,87,0:04:24,4.125287422989221
Call_185,Agent_1,2023-05-19 14:48:34,8:05,Sales Inquiry,N,Yes,13,0:09:29,3.3131935976814426
Call_186,Agent_2,2023-05-06 10:10:28,3:42,Feedback,Y,No,26,0:04:01,1.5878508383528387
Call_187,Agent_2,2023-03-19 08:36:12,12:38,General Inquiry,Y,Yes,33,0:01:11,4.244495079733884
Call_188,Agent_3,2023-01-11 21:07:42,23:40,Feedback,N,No,28,0:09:46,3.543818828654914
Call_189,Agent_5,2023-09-23 09:53:09,3:52,Billing,N,Yes,37,0:05:39,2.552662824507982
Call_190,Agent_5,2023-04-29 09:45:26,21:25,Billing,N,Yes,36,0:01:03,3.696521182144252
Call_191,Agent_3,2023-08-04 21:37:51,21:15,Feedback,Y,Yes,45,0:02:37,2.0396199169713314
Call_192,Agent_3,2023-10-10 15:36:17,13:39,Feedback,N,No,26,0:08:35,2.380768833976842
Call_193,Agent_3,2023-08-18 09:15:32,16:13,General Inquiry,Y,Yes,20,0:02:58,4.66994337252796
Call_194,Agent_1,2023-04-12 06:37:38,12:45,Billing,Y,No,43,0:08:44,2.1620180226856816
Call_195,Agent_4,2023-01-04 21:56:21,7:35,Billing,Y,No,114,0:05:36,2.8799530726317464
Call_196,Agent_1,2023-09-15 07:12:44,23:07,Sales Inquiry,N,No,91,0:01:49,4.5605645495840585
Call_197,Agent_4,2023-07-30 21:17:20,11:47,Sales Inquiry,N,No,107,0:05:55,3.83088540107011
Call_198,Agent_4,2023-01-11 08:20:47,9:54,Sales Inquiry,Y,No,31,0:03:07,1.248812904658811
Call_199,Agent_1,2023-01-16 22:09:06,22:52,Feedback,Y,Yes,39,0:01:02,1.5892121771158814
Call_200,Agent_4,2023-07-08 07:20:02,16:21,Sales Inquiry,Y,No,44,0:02:36,1.0313663630876673
Call_201,Agent_2,2023-05-23 17:12:59,18:42,Billing,N,No,5,0:05:50,3.5236871609166536
Call_202,Agent_5,2023-08-30 00:25:06,3:26,Sales Inquiry,N,Yes,53,0:05:28,2.7906937016416733
Call_203,Agent_1,2023-05-19 02:37:33,21:36,General Inquiry,Y,No,67,0:01:45,1.5370994036091021
Call_204,Agent_2,2023-07-31 19:07:39,13:51,Sales Inquiry,Y,Yes,43,0:04:18,4.831736484227082
Call_205,Agent_1,2023-04-04 21:20:21,22:12,Billing,Y,No,39,0:08:05,3.1186388957824795
Call_206,Agent_2,2023-05-15 16:35:13,8:31,General Inquiry,Y,No,8,0:06:02,1.9675731764515567
Call_207,Agent_5,2023-07-20 07:37:16,20:14,Feedback,N,Yes,83,0:01:08,3.00241428461883
Call_208,Agent_5,2023-05-09 17:23:41,18:59,Technical Support,Y,Yes,41,0:01:57,3.718481330940431
Call_209,Agent_2,2023-07-24 09:02:19,15:12,Feedback,Y,Yes,74,0:06:50,1.304956871894258
Call_210,Agent_3,2023-07-04 14:37:27,15:54,Sales Inquiry,Y,No,30,0:03:00,2.098815260191568
Call_211,Agent_1,2023-08-09 15:25:54,12:44,Billing,N,Yes,107,0:06:51,4.227861963535974
Call_212,Agent_4,2023-04-06 15:19:06,7:48,Billing,N,Yes,41,0:06:10,2.838659481610645
Call_213,Agent_4,2023-11-22 12:58:59,14:35,Sales Inquiry,N,Yes,91,0:01:13,3.1863085681291796
Call_214,Agent_1,2023-04-25 12:21:00,9:10,Technical Support,Y,Yes,87,0:08:42,2.731264008837877
Call_215,Agent_5,2023-08-09 23:08:34,6:44,Sales Inquiry,N,No,67,0:03:28,1.1755997705720205
Call_216,Agent_1,2023-02-26 21:45:04,5:47,Feedback,Y,Yes,105,0:08:00,1.6629991192806237
Call_217,Agent_1,2023-08-05 00:06:09,7:38,Sales Inquiry,N,No,76,0:03:07,2.7821665549675636
Call_218,Agent_3,2023-02-21 07:44:36,12:56,Billing,N,Yes,91,0:03:23,1.8367418616317113
Call_219,Agent_4,2023-03-29 13:59:26,16:47,General Inquiry,Y,Yes,76,0:01:06,1.199916114638715
Call_220,Agent_5,2023-02-27 12:10:22,4:25,Billing,Y,Yes,34,0:01:10,4.374598656207295
Call_221,Agent_2,2023-03-08 14:34:35,6:25,Billing,N,Yes,66,0:06:48,4.924770116656463
Call_222,Agent_5,2023-12-08 19:45:18,17:21,Technical Support,Y,No,93,0:03:43,4.172571495986958
Call_223,Agent_5,2023-04-30 07:36:57,7:32,Billing,Y,Yes,86,0:02:04,4.415139686818668
Call_224,Agent_3,2023-10-02 05:01:29,19:33,Technical Support,Y,No,24,0:09:04,1.9679085212681815
Call_225,Agent_2,2023-08-02 04:00:12,21:13,Billing,N,No,26,0:02:52,4.842507902052799
Call_226,Agent_5,2023-01-08 23:58:14,4:37,General Inquiry,Y,No,68,0:01:07,1.7877028178137135
Call_227,Agent_1,2023-03-14 20:28:29,3:32,Sales Inquiry,N,No,67,0:02:22,4.8057192414473295
Call_228,Agent_3,2023-11-14 02:43:54,5:39,Feedback,Y,Yes,75,0:03:41,4.979277175863804
Call_229,Agent_3,2023-06-03 10:14:45,7:01,Sales Inquiry,Y,Yes,20,0:01:28,3.846891222984195
Call_230,Agent_1,2023-07-17 05:54:29,8:49,Technical Support,Y,No,112,0:01:32,4.924574927167288
Call_231,Agent_2,2023-01-11 07:49:18,19:14,Billing,Y,Yes,82,0:08:43,3.2781591182684147
Call_232,Agent_3,2023-02-28 20:36:05,12:13,Feedback,Y,No,87,0:04:18,2.0381671327043613
Call_233,Agent_2,2023-02-15 15:46:28,7:46,Billing,Y,No,113,0:06:37,2.7479835426624835
Call_234,Agent_4,2023-05-15 20:39:33,7:35,Sales Inquiry,N,Yes,10,0:07:37,3.374243741515144
Call_235,Agent_2,2023-03-20 13:00:51,22:11,Feedback,Y,Yes,15,0:07:58,1.29232624810806
Call_236,Agent_5,2023-07-10 04:15:05,17:01,Feedback,N,Yes,42,0:01:40,3.4893730584689844
Call_237,Agent_2,2023-04-15 11:39:29,16:44,Sales Inquiry,N,Yes,111,0:07:45,4.924711347049178
Call_238,Agent_1,2023-03-12 19:55:46,6:23,General Inquiry,Y,No,35,0:09:24,1.7604305991349105
Call_239,Agent_4,2023-05-29 11:18:58,5:55,General Inquiry,Y,No,90,0:04:41,4.170380465153533
Call_240,Agent_4,2023-10-04 19:20:42,1:36,Billing,Y,Yes,33,0:08:31,4.631595175118477
Call_241,Agent_1,2023-08-01 18:26:14,11:27,Technical Support,N,No,65,0:04:02,4.774806371280883
Call_242,Agent_4,2023-10-15 05:54:08,1:45,Technical Support,N,No,68,0:06:10,4.840542417621789
Call_243,Agent_4,2023-03-10 06:05:55,22:34,General Inquiry,N,Yes,55,0:08:22,3.0858385548858878
Call_244,Agent_5,2023-03-10 12:36:05,6:50,General Inquiry,Y,No,30,0:02:15,4.909231631966015
Call_245,Agent_2,2023-11-27 15:10:50,23:02,General Inquiry,N,No,37,0:09:08,4.0292408285377554
Call_246,Agent_5,2023-03-07 14:40:09,23:45,Feedback,N,Yes,5,0:03:41,1.6466857449478476
Call_247,Agent_2,2023-04-07 03:40:00,22:55,General Inquiry,Y,No,107,0:04:43,2.90760042587188
